74DA38ED0634	花蓮縣立體育高中	[970]花蓮縣花蓮市永安街100號
74DA38ED0618	花蓮縣立明禮國小	[970]花蓮縣花蓮市明禮路6號
74DA38ED0638	花蓮縣立明義國小	[970]花蓮縣花蓮市明義街107號
74DA38ED0630	花蓮縣立明廉國小	[970]花蓮縣花蓮市中山路903號
74DA38ED062E	花蓮縣立明恥國小	[970]花蓮縣花蓮市中興路41號
74DA38ED0636	花蓮縣立中正國小	[970]花蓮縣花蓮市中正路210號
74DA38ED062C	花蓮縣立信義國小	[970]花蓮縣花蓮市主計里信義街1號
74DA38ED062A	花蓮縣立復興國小	[970]花蓮縣花蓮市府前路682號
74DA38ED0628	花蓮縣立中華國小	[970]花蓮縣花蓮市國盛二街22號
74DA38ED061A	花蓮縣立忠孝國小	[970]花蓮縣花蓮市中華路298號
74DA38ED0620	花蓮縣立北濱國小	[970]花蓮縣花蓮市北濱街113號
74DA38ED0616	花蓮縣立鑄強國小	[970]花蓮縣花蓮市永興路20號
74DA38ED0614	花蓮縣立國福國小	[970]花蓮縣花蓮市福光街277巷1號
74DA38ED0612	花蓮縣立新城國小	[971]花蓮縣新城鄉新城村博愛路30號
74DA38ED0610	花蓮縣立北埔國小	[971]花蓮縣新城鄉北埔路170號
74DA38ED060E	花蓮縣立康樂國小	[971]花蓮縣新城鄉康樂村康樂一街38號
74DA38ED060C	花蓮縣立嘉里國小	[971]花蓮縣新城鄉嘉里村嘉里三街28號
74DA38ED060A	花蓮縣立吉安國小	[973]花蓮縣吉安鄉吉安路二段97號
74DA38ED0606	花蓮縣立宜昌國小	[973]花蓮縣吉安鄉宜昌一街45號
74DA38ED0632	花蓮縣立北昌國小	[973]花蓮縣吉安鄉北昌村自強路533號
74DA38ED04C0	花蓮縣立稻香國小	[973]花蓮縣吉安鄉稻香村稻香路99號
74DA38ED04BE	花蓮縣立光華國小	[973]花蓮縣吉安鄉光華村光華二街180號
74DA38ED04BC	花蓮縣立南華國小	[973]花蓮縣吉安鄉干城村吉安路6段60號
74DA38ED04A2	花蓮縣立化仁國小	[973]花蓮縣吉安鄉東里十一街83號
74DA38ED04A6	花蓮縣立太昌國小	[973]花蓮縣吉安鄉太昌村明義五街1號
74DA38ED04B6	花蓮縣立壽豐國小	[974]花蓮縣壽豐鄉壽豐村壽山路37號
74DA38ED04A8	花蓮縣立豐山國小	[974]花蓮縣壽豐鄉豐山村中山路41號
74DA38ED04B8	花蓮縣立豐裡國小	[974]花蓮縣壽豐鄉豐裡村中山路299號
74DA38ED04AA	花蓮縣立志學國小	[974]花蓮縣壽豐鄉志學村中正路120巷10號
74DA38ED04AC	花蓮縣立平和國小	[974]花蓮縣壽豐鄉平和路34號
74DA38ED074E	花蓮縣立溪口國小	[974]花蓮縣壽豐鄉溪口村溪口路87號
74DA38ED0798	花蓮縣立月眉國小	[974]花蓮縣壽豐鄉月眉村月眉三段24號
74DA38ED0750	花蓮縣立水璉國小	[974]花蓮縣壽豐鄉水璉村水璉二街20號
74DA38ED076C	花蓮縣立鳳林國小	[975]花蓮縣鳳林鎮中正路二段1號
74DA38ED079C	花蓮縣立大榮國小	[975]花蓮縣鳳林鎮大榮里復興路85號
74DA38ED0756	花蓮縣立鳳仁國小	[975]花蓮縣鳳林鎮鳳仁里光復路94號
74DA38ED04B2	花蓮縣立北林國小	[975]花蓮縣鳳林鎮北林里平園路32號
74DA38ED04B4	花蓮縣立長橋國小	[975]花蓮縣鳳林鎮長橋里長橋路2號
74DA38ED0488	花蓮縣立林榮國小	[975]花蓮縣鳳林鎮林榮里永安街2號
74DA38ED04C2	花蓮縣立光復國小	[976]花蓮縣光復鄉大馬村中山路三段75號
74DA38ED047E	花蓮縣立太巴塱國小	[976]花蓮縣光復鄉中正路二段23號
74DA38ED05FC	花蓮縣立大進國小	[976]花蓮縣光復鄉大進村糖廠街4號
74DA38ED04EC	花蓮縣立瑞穗國小	[978]花蓮縣瑞穗鄉溫泉路一段19號
74DA38ED05E8	花蓮縣立瑞北國小	[978]花蓮縣瑞穗鄉中正北路二段35號
74DA38ED05E6	花蓮縣立瑞美國小	[978]花蓮縣瑞穗鄉中山路二段389號
74DA38ED046A	花蓮縣立鶴岡國小	[978]花蓮縣瑞穗鄉鶴岡村167號
74DA38ED04EE	花蓮縣立舞鶴國小	[978]花蓮縣瑞穗鄉舞鶴村64號
74DA38ED04F8	花蓮縣立富源國小	[978]花蓮縣瑞穗鄉富源村30號
74DA38ED04F0	花蓮縣立豐濱國小	[977]花蓮縣豐濱鄉豐濱村民族街5號
74DA38ED04F2	花蓮縣立港口國小	[977]花蓮縣豐濱鄉港口村43號
74DA38ED05DE	花蓮縣立靜浦國小	[977]花蓮縣豐濱鄉靜浦村64號
74DA38ED05E0	花蓮縣立新社國小	[977]花蓮縣豐濱鄉新社村150號
74DA38ED05F8	花蓮縣立玉里國小	[981]花蓮縣玉里鎮忠智路43號
74DA38ED05E2	花蓮縣立中城國小	[981]花蓮縣玉里鎮中山路一段1號
74DA38ED05E4	花蓮縣立源城國小	[981]花蓮縣玉里鎮源城里水源62號
